time,Bx,By,Bz,F
18759.130555555555,21020.24,1709.3,43991.22,48785.23991163721
18759.13125,21020.06,1709.51,43991.24,48785.18774773036
18759.131944444445,21020.03,1709.44,43991.37,48785.28959421477
18759.13263888889,21020.11,1709.29,43991.4,48785.34585996291
18759.133333333335,21020.16,1709.4,43991.52,48785.479465677075
18759.134027777778,21020.35,1709.36,43991.59,48785.623050855866
18759.13472222222,21020.45,1709.46,43991.55,48785.63357277017
18759.135416666668,21020.6,1709.63,43991.61,48785.75826497934
18759.13611111111,21020.71,1709.9,43991.71,48785.905296901066
18759.136805555554,21020.89,1709.86,43991.76,48786.02653946415
18759.1375,21021.0,1709.79,43991.86,48786.16165577796
18759.138194444444,21020.99,1709.95,43991.87,48786.1719719789
18759.13888888889,21021.21,1710.18,43991.86,48786.2658107392
18759.139583333334,21021.48,1710.41,43991.93,48786.45333372165
18759.140277777777,21021.49,1710.63,43991.95,48786.483390581656
18759.140972222223,21021.26,1710.82,43992.03,48786.46308742723
18759.141666666666,21021.28,1711.06,43992.08,48786.52520818018
18759.14236111111,21021.17,1711.46,43992.1,48786.50987630187
18759.143055555556,21021.13,1711.56,43992.07,48786.4690974393
18759.14375,21021.31,1711.83,43992.21,48786.682370797665
18759.144444444446,21021.52,1711.82,43992.28,48786.83562623426
18759.14513888889,21021.62,1711.77,43992.31,48786.904012177285
18759.145833333332,21021.72,1711.82,43992.26,48786.903769130506
18759.14652777778,21021.92,1711.98,43992.44,48787.15787131282
18759.147222222222,21022.03,1712.08,43992.47,48787.235830165664
18759.147916666665,21021.81,1712.31,43992.51,48787.185175128725
18759.14861111111,21021.79,1712.39,43992.58,48787.242485844596
18759.149305555555,21021.8,1712.43,43992.7,48787.356405475584
18759.15,21021.79,1712.46,43992.79,48787.43430474491
18759.150694444445,21021.8,1712.63,43992.84,48787.489667152375
18759.151388888888,21021.92,1712.88,43992.78,48787.49604672492
18759.152083333334,21021.93,1713.06,43992.8,48787.52470999631
18759.152777777777,21021.99,1713.12,43992.87,48787.61579060202
18759.15347222222,21022.05,1713.13,43992.98,48787.74118443895
18759.154166666667,21022.09,1713.15,43993.0,48787.777156687516
18759.15486111111,21022.1,1713.31,43993.04,48787.823152992794
18759.155555555557,21021.95,1713.45,43993.07,48787.79048829635
18759.15625,21022.01,1713.45,43993.14,48787.879462036464
18759.156944444443,21022.04,1713.62,43993.24,48787.988531641684
18759.15763888889,21021.99,1713.88,43993.24,48787.97612027066
18759.158333333333,21021.9,1714.15,43993.29,48787.99191252495
