datetime,time,btot,bx,by,bz,density,speed,dst,kp
2023-02-16 15:18:00+00:00,738567.6375,9.59,-4.61,-6.89,4.7,8.0,440.0,2.0,2.5
2023-02-16 15:19:00+00:00,738567.638194,9.49,-4.53,-7.76,2.71,8.0,440.0,2.0,2.48
2023-02-16 15:20:00+00:00,738567.638889,9.09,-5.83,-4.65,5.09,6.0,439.0,2.0,2.47
2023-02-16 15:21:00+00:00,738567.639583,9.03,-6.31,0.33,6.2,5.0,445.0,2.0,2.45
2023-02-16 15:22:00+00:00,738567.640278,8.5,-6.32,0.66,5.63,4.0,437.0,2.0,2.43
2023-02-16 15:23:00+00:00,738567.640972,9.88,-7.9,0.87,5.79,4.0,438.0,2.0,2.42
2023-02-16 15:24:00+00:00,738567.641667,10.31,-7.68,1.36,6.67,5.0,436.0,2.0,2.4
2023-02-16 15:25:00+00:00,738567.642361,10.11,-7.41,1.73,6.6,5.0,436.0,2.0,2.38
2023-02-16 15:26:00+00:00,738567.643056,11.13,-8.73,1.62,6.52,5.0,434.0,2.0,2.37
2023-02-16 15:27:00+00:00,738567.64375,11.05,-8.92,1.64,6.29,5.0,433.0,2.0,2.35
2023-02-16 15:28:00+00:00,738567.644444,10.61,-9.47,-3.84,1.96,5.0,428.0,2.0,2.33
2023-02-16 15:29:00+00:00,738567.645139,10.2,-9.18,-4.15,0.98,5.0,429.0,2.0,2.32
2023-02-16 15:30:00+00:00,738567.645833,11.06,-9.07,-0.25,5.86,6.0,428.0,2.0,2.3
2023-02-16 15:31:00+00:00,738567.646528,11.52,-9.17,0.71,6.87,6.0,429.0,2.0,2.28
2023-02-16 15:32:00+00:00,738567.647222,11.94,-9.97,1.16,6.41,7.0,442.0,3.0,2.27
2023-02-16 15:33:00+00:00,738567.647917,11.69,-9.84,-3.53,4.63,7.0,426.0,3.0,2.25
2023-02-16 15:34:00+00:00,738567.648611,12.1,-10.17,-5.13,3.88,7.0,422.0,3.0,2.23
2023-02-16 15:35:00+00:00,738567.649306,11.76,-9.51,-4.11,5.52,7.0,423.0,3.0,2.22
2023-02-16 15:36:00+00:00,738567.65,11.58,-9.22,-4.09,5.36,7.0,424.0,3.0,2.2
2023-02-16 15:37:00+00:00,738567.650694,11.61,-10.6,-3.08,3.64,6.0,420.0,3.0,2.18
2023-02-16 15:38:00+00:00,738567.651389,11.63,-10.38,-2.92,4.21,6.0,422.0,3.0,2.17
2023-02-16 15:39:00+00:00,738567.652083,12.06,-10.71,-3.16,4.34,7.0,420.0,3.0,2.15
2023-02-16 15:40:00+00:00,738567.652778,11.28,-9.81,-2.43,4.35,6.0,423.0,3.0,2.13
2023-02-16 15:41:00+00:00,738567.653472,11.4,-8.68,-1.05,7.26,7.0,427.0,3.0,2.12
2023-02-16 15:42:00+00:00,738567.654167,11.37,-7.68,1.44,6.64,7.0,428.0,3.0,2.1
2023-02-16 15:43:00+00:00,738567.654861,11.86,-8.04,-6.81,5.24,7.0,427.0,3.0,2.08
2023-02-16 15:44:00+00:00,738567.655556,11.91,-9.36,-2.0,6.75,7.0,422.0,3.0,2.07
2023-02-16 15:45:00+00:00,738567.65625,12.05,-8.85,-3.72,6.99,7.0,424.0,3.0,2.05
2023-02-16 15:46:00+00:00,738567.656944,12.27,-8.11,-6.74,6.12,7.0,427.0,3.0,2.03
2023-02-16 15:47:00+00:00,738567.657639,12.27,-7.22,-7.17,6.78,7.0,431.0,3.0,2.02
2023-02-16 15:48:00+00:00,738567.658333,11.94,-6.58,-5.65,7.98,7.0,431.0,4.0,2.0
2023-02-16 15:49:00+00:00,738567.659028,12.41,-8.17,-6.91,5.85,7.0,428.0,4.0,1.98
2023-02-16 15:50:00+00:00,738567.659722,12.41,-8.02,-2.68,8.4,6.0,428.0,4.0,1.97
2023-02-16 15:51:00+00:00,738567.660417,12.24,-6.9,-2.29,9.57,7.0,431.0,4.0,1.95
2023-02-16 15:52:00+00:00,738567.661111,12.48,-7.09,-6.75,7.27,7.0,431.0,4.0,1.93
